rank,file_name,series_name,total_length,train_length,test_length,kl_train_to_test,kl_test_to_train,symmetric_kl
1,246_UCR_Anomaly_tilt12755mtable_100211_270800_271070.txt,tilt12755mtable,299867,270800,28797,9.294522730292,0.626470454249,4.960496592271
2,159_UCR_Anomaly_TkeepSecondMARS_3500_9330_9340.txt,TkeepSecondMARS,11388,9330,2048,8.763479609003,0.363572208919,4.563525908961
3,202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,CHARISfive,41790,10998,30762,4.170776572853,0.630844656343,2.400810614598
4,204_UCR_Anomaly_CHARISfive_12412_15000_15070.txt,CHARISfive,41999,15000,26929,3.032941924195,0.368850175654,1.700896049924
5,212_UCR_Anomaly_Italianpowerdemand_8913_29480_29504.txt,Italianpowerdemand,29931,29480,427,2.688010952235,0.194262919119,1.441136935677
6,206_UCR_Anomaly_CHARISten_25130_29080_29140.txt,CHARISten,42000,29080,12860,2.124448766585,0.078721870889,1.101585318737
7,205_UCR_Anomaly_CHARISfive_9812_28995_29085.txt,CHARISfive,39870,28995,10785,1.745009324905,0.268372400603,1.006690862754
8,033_UCR_Anomaly_DISTORTEDInternalBleeding5_4000_6200_6370.txt,DISTORTEDInternalBleeding5,7415,6200,1045,1.234914219214,0.115677834773,0.675296026993
9,194_UCR_Anomaly_sddb49_20000_67950_68200.txt,sddb49,80000,67950,11800,1.118950752773,0.102782190872,0.610866471822
10,051_UCR_Anomaly_DISTORTEDTkeepSecondMARS_3500_9330_9340.txt,DISTORTEDTkeepSecondMARS,11388,9330,2048,1.106778578831,0.129064864938,0.617921721885
11,151_UCR_Anomaly_MesoplodonDensirostris_10000_19280_19440.txt,MesoplodonDensirostris,24667,19280,5227,1.103881719299,0.734678725282,0.919280222290
12,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,DISTORTEDMesoplodonDensirostris,24667,19280,5227,1.085780326016,0.715984025653,0.900882175835
13,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,NOISEMesoplodonDensirostris,24667,19280,5227,1.044400214118,0.684148580238,0.864274397178
14,086_UCR_Anomaly_DISTORTEDsddb49_20000_67950_68200.txt,DISTORTEDsddb49,80000,67950,11800,1.022144266453,0.085568693665,0.553856480059
15,189_UCR_Anomaly_resperation3_45000_158250_158251.txt,resperation3,190100,158250,31849,0.737383133296,0.078913357713,0.408148245505
16,243_UCR_Anomaly_tilt12744mtable_100000_203355_203400.txt,tilt12744mtable,250001,203355,46601,0.727838040596,0.057803621140,0.392820830868
17,187_UCR_Anomaly_resperation2_30000_168250_168250.txt,resperation2,200051,168250,31801,0.689425057042,0.072499368468,0.380962212755
18,188_UCR_Anomaly_resperation2_30000_168250_168251.txt,resperation2,190050,168250,21799,0.673725564315,0.070339615169,0.372032589742
19,199_UCR_Anomaly_tiltAPB3_40000_114000_114370.txt,tiltAPB3,129489,114000,15119,0.649295233924,0.105237785494,0.377266509709
20,245_UCR_Anomaly_tilt12754table_100211_270800_271070.txt,tilt12754table,298747,270800,27677,0.637616897178,0.460461336533,0.549039116856
21,247_UCR_Anomaly_tilt12755mtable_50211_121900_121980.txt,tilt12755mtable,200000,121900,78020,0.587260730154,0.173205526820,0.380233128487
22,162_UCR_Anomaly_WalkingAceleration5_2700_5920_5979.txt,WalkingAceleration5,6684,5920,705,0.559323127087,0.164102165146,0.361712646117
23,242_UCR_Anomaly_tilt12744mtable_100000_104630_104890.txt,tilt12744mtable,286667,104630,181777,0.545262179311,0.040290180226,0.292776179768
24,229_UCR_Anomaly_mit14134longtermecg_16363_57960_57970.txt,mit14134longtermecg,59000,57960,1030,0.533150237892,0.076057906985,0.304604072438
25,198_UCR_Anomaly_tiltAPB2_50000_124159_124985.txt,tiltAPB2,128767,124159,3782,0.518556543283,0.059152762551,0.288854652917
26,197_UCR_Anomaly_tiltAPB1_100000_114283_114350.txt,tiltAPB1,130001,114283,15651,0.480799379891,0.101319669989,0.291059524940
27,248_UCR_Anomaly_weallwalk_2000_4702_4707.txt,weallwalk,8432,4702,3725,0.469759774547,0.067405327530,0.268582551039
28,090_UCR_Anomaly_DISTORTEDtiltAPB2_50000_124159_124985.txt,DISTORTEDtiltAPB2,128767,124159,3782,0.460120539181,0.046256917658,0.253188728420
29,191_UCR_Anomaly_resperation9_38000_143411_143511.txt,resperation9,195000,143411,51489,0.459124572705,0.081615619221,0.270370095963
30,046_UCR_Anomaly_DISTORTEDPowerDemand3_16000_23405_23477.txt,DISTORTEDPowerDemand3,29931,23405,6454,0.457892721243,0.058629867983,0.258261294613
31,091_UCR_Anomaly_DISTORTEDtiltAPB3_40000_114000_114370.txt,DISTORTEDtiltAPB3,129489,114000,15119,0.451054926415,0.075441288308,0.263248107361
32,054_UCR_Anomaly_DISTORTEDWalkingAceleration5_2700_5920_5979.txt,DISTORTEDWalkingAceleration5,6684,5920,705,0.450371439393,0.149189856923,0.299780648158
33,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.txt,DISTORTEDInternalBleeding4,7321,4675,2288,0.439223858724,0.057765601512,0.248494730118
34,050_UCR_Anomaly_DISTORTEDTkeepForthMARS_3500_5988_6085.txt,DISTORTEDTkeepForthMARS,11308,5988,5223,0.419660697475,0.191459708386,0.305560202930
35,112_UCR_Anomaly_BIDMC1_2500_5400_5600.txt,BIDMC1,11000,5400,5400,0.415832269336,0.110465216240,0.263148742788
36,036_UCR_Anomaly_DISTORTEDInternalBleeding9_4200_6599_6681.txt,DISTORTEDInternalBleeding9,7501,6599,820,0.382128201258,0.110226938708,0.246177569983
37,115_UCR_Anomaly_CIMIS44AirTemperature3_4000_6520_6544.txt,CIMIS44AirTemperature3,8184,6520,1640,0.379952041020,0.063214578490,0.221583309755
38,158_UCR_Anomaly_TkeepForthMARS_3500_5988_6085.txt,TkeepForthMARS,11308,5988,5223,0.372140275653,0.279285497637,0.325712886645
39,156_UCR_Anomaly_TkeepFifthMARS_3500_5988_6085.txt,TkeepFifthMARS,11334,5988,5249,0.370728709758,0.277625210602,0.324176960180
40,108_UCR_Anomaly_NOISEresperation2_30000_168250_168250.txt,NOISEresperation2,200051,168250,31801,0.367956239671,0.032539451015,0.200247845343
41,201_UCR_Anomaly_CHARISfive_10000_17001_17016.txt,CHARISfive,41347,17001,24331,0.367406799535,0.076128898364,0.221767848949
42,232_UCR_Anomaly_mit14134longtermecg_8763_57530_57790.txt,mit14134longtermecg,59000,57530,1210,0.359012659458,0.041986614792,0.200499637125
43,214_UCR_Anomaly_STAFFIIIDatabase_34211_125720_126370.txt,STAFFIIIDatabase,299690,125720,173320,0.354891878591,0.263452398694,0.309172138643
44,153_UCR_Anomaly_PowerDemand2_14000_23357_23717.txt,PowerDemand2,29931,23357,6214,0.347686704977,0.067645437458,0.207666071217
45,154_UCR_Anomaly_PowerDemand3_16000_23405_23477.txt,PowerDemand3,29931,23405,6454,0.346013525036,0.066079190524,0.206046357780
46,155_UCR_Anomaly_PowerDemand4_18000_24005_24077.txt,PowerDemand4,29931,24005,5854,0.342946316020,0.072051737601,0.207499026810
47,081_UCR_Anomaly_DISTORTEDresperation3_45000_158250_158251.txt,DISTORTEDresperation3,190100,158250,31849,0.330121806160,0.028825733876,0.179473770018
48,049_UCR_Anomaly_DISTORTEDTkeepFirstMARS_3500_5365_5380.txt,DISTORTEDTkeepFirstMARS,11406,5365,6026,0.316049026988,0.085450369747,0.200749698368
49,031_UCR_Anomaly_DISTORTEDInternalBleeding20_2700_5759_5919.txt,DISTORTEDInternalBleeding20,7500,5759,1581,0.313905067447,0.054800704140,0.184352885793
50,250_UCR_Anomaly_weallwalk_2951_7290_7296.txt,weallwalk,10468,7290,3172,0.287219408690,0.036139837546,0.161679623118
51,216_UCR_Anomaly_STAFFIIIDatabase_37216_160720_161370.txt,STAFFIIIDatabase,299890,160720,138520,0.285868695072,0.255871016370,0.270869855721
52,080_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168251.txt,DISTORTEDresperation2,190050,168250,21799,0.282341111923,0.031873086985,0.157107099454
53,207_UCR_Anomaly_CHARISten_3165_26929_26989.txt,CHARISten,39870,26929,12881,0.281843042963,0.029913603939,0.155878323451
54,089_UCR_Anomaly_DISTORTEDtiltAPB1_100000_114283_114350.txt,DISTORTEDtiltAPB1,130001,114283,15651,0.278589527332,0.079274575262,0.178932051297
55,004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,DISTORTEDBIDMC1,11000,5400,5400,0.270675604306,0.109385138094,0.190030371200
56,007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544.txt,DISTORTEDCIMIS44AirTemperature3,8184,6520,1640,0.270157040727,0.058785773264,0.164471406996
57,217_UCR_Anomaly_STAFFIIIDatabase_38211_150720_151370.txt,STAFFIIIDatabase,299690,150720,148320,0.263077022359,0.203537294163,0.233307158261
58,240_UCR_Anomaly_taichidbS0715Master_240030_884100_884200.txt,taichidbS0715Master,900000,884100,15800,0.260323953877,0.014594877671,0.137459415774
59,079_UCR_Anomaly_DISTORTEDresperation2_30000_168250_168250.txt,DISTORTEDresperation2,200051,168250,31801,0.249142732960,0.024599208321,0.136870970641
60,045_UCR_Anomaly_DISTORTEDPowerDemand2_14000_23357_23717.txt,DISTORTEDPowerDemand2,29931,23357,6214,0.240287984604,0.053516490418,0.146902237511
61,249_UCR_Anomaly_weallwalk_2753_8285_8315.txt,weallwalk,10524,8285,2209,0.239487640111,0.027929901995,0.133708771053
62,047_UCR_Anomaly_DISTORTEDPowerDemand4_18000_24005_24077.txt,DISTORTEDPowerDemand4,29931,24005,5854,0.224364480308,0.062808247627,0.143586363967
63,008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597.txt,DISTORTEDCIMIS44AirTemperature4,8184,5549,2587,0.224356504171,0.047805008318,0.136080756245
64,029_UCR_Anomaly_DISTORTEDInternalBleeding18_2300_4485_4587.txt,DISTORTEDInternalBleeding18,7500,4485,2913,0.220187747209,0.052026292334,0.136107019772
65,094_UCR_Anomaly_NOISEBIDMC1_2500_5400_5600.txt,NOISEBIDMC1,11000,5400,5400,0.200571064800,0.080899921170,0.140735492985
66,034_UCR_Anomaly_DISTORTEDInternalBleeding6_1500_3474_3629.txt,DISTORTEDInternalBleeding6,7654,3474,4025,0.196705127570,0.618188095632,0.407446611601
67,160_UCR_Anomaly_TkeepThirdMARS_3500_4711_4809.txt,TkeepThirdMARS,11308,4711,6499,0.194587393291,0.169780006950,0.182183700121
68,167_UCR_Anomaly_gait1_20000_38500_38800.txt,gait1,65000,38500,26200,0.191137567032,0.177775220628,0.184456393830
69,200_UCR_Anomaly_tiltAPB4_20000_67995_67996.txt,tiltAPB4,128001,67995,60005,0.188197037491,1.265067818033,0.726632427762
70,088_UCR_Anomaly_DISTORTEDsel840mECG2_20000_49370_49740.txt,DISTORTEDsel840mECG2,57001,49370,7261,0.182163391312,0.050456965904,0.116310178608
71,083_UCR_Anomaly_DISTORTEDresperation9_38000_143411_143511.txt,DISTORTEDresperation9,195000,143411,51489,0.178576600400,0.031915242982,0.105245921691
72,219_UCR_Anomaly_STAFFIIIDatabase_41612_64632_64852.txt,STAFFIIIDatabase,299840,64632,234988,0.177227022949,0.114644353500,0.145935688224
73,038_UCR_Anomaly_DISTORTEDLab2Cmac011215EPG2_5000_27862_27932.txt,DISTORTEDLab2Cmac011215EPG2,29950,27862,2018,0.176750342590,0.077652184608,0.127201263599
74,179_UCR_Anomaly_ltstdbs30791AS_23000_52600_52800.txt,ltstdbs30791AS,55000,52600,2200,0.170829681208,0.049308843700,0.110069262454
75,169_UCR_Anomaly_gait3_24500_59900_60500.txt,gait3,65000,59900,4500,0.161741948846,0.172912312015,0.167327130431
76,071_UCR_Anomaly_DISTORTEDltstdbs30791AS_23000_52600_52800.txt,DISTORTEDltstdbs30791AS,55000,52600,2200,0.160893057402,0.052203581419,0.106548319411
77,196_UCR_Anomaly_sel840mECG2_20000_49370_49740.txt,sel840mECG2,57001,49370,7261,0.159275130347,0.065835520491,0.112555325419
78,092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.txt,DISTORTEDtiltAPB4,128001,67995,60005,0.157812232591,0.361542887984,0.259677560288
79,103_UCR_Anomaly_NOISETkeepThirdMARS_3500_4711_4809.txt,NOISETkeepThirdMARS,11308,4711,6499,0.147547386772,0.105011878305,0.126279632538
80,168_UCR_Anomaly_gait2_22000_46500_46800.txt,gait2,65000,46500,18200,0.145251812414,0.148448318018,0.146850065216
81,146_UCR_Anomaly_Lab2Cmac011215EPG2_5000_27862_27932.txt,Lab2Cmac011215EPG2,29950,27862,2018,0.138760495619,0.093573183747,0.116166839683
82,048_UCR_Anomaly_DISTORTEDTkeepFifthMARS_3500_5988_6085.txt,DISTORTEDTkeepFifthMARS,11334,5988,5249,0.136790537287,0.146731707955,0.141761122621
83,186_UCR_Anomaly_resperation1_100000_110260_110412.txt,resperation1,200000,110260,89588,0.127875277430,0.045485823847,0.086680550639
84,053_UCR_Anomaly_DISTORTEDWalkingAceleration1_1500_2764_2995.txt,DISTORTEDWalkingAceleration1,6684,2764,3689,0.126730517650,0.390456365041,0.258593441345
85,161_UCR_Anomaly_WalkingAceleration1_1500_2764_2995.txt,WalkingAceleration1,6684,2764,3689,0.124723364989,0.366411351820,0.245567358405
86,185_UCR_Anomaly_resperation11_58000_110800_110801.txt,resperation11,195000,110800,84199,0.124589408916,0.043868483040,0.084228945978
87,178_UCR_Anomaly_ltstdbs30791AI_17555_52600_52800.txt,ltstdbs30791AI,56123,52600,3323,0.122876305977,0.137306337069,0.130091321523
88,184_UCR_Anomaly_resperation10_48000_130700_131880.txt,resperation10,195000,130700,63120,0.122395197736,0.055447021151,0.088921109444
89,157_UCR_Anomaly_TkeepFirstMARS_3500_5365_5380.txt,TkeepFirstMARS,11406,5365,6026,0.120792757896,0.106882671475,0.113837714686
90,181_UCR_Anomaly_park3m_60000_72150_72495.txt,park3m,90000,72150,17505,0.120364598860,0.111380561716,0.115872580288
91,190_UCR_Anomaly_resperation4_70000_128430_128431.txt,resperation4,195250,128430,66819,0.118933868777,0.051535969824,0.085234919300
92,220_UCR_Anomaly_STAFFIIIDatabase_43217_250720_251370.txt,STAFFIIIDatabase,299790,250720,48420,0.117809707927,0.083227817412,0.100518762669
93,237_UCR_Anomaly_mit14157longtermecg_19313_89560_90370.txt,mit14157longtermecg,97000,89560,6630,0.113045020866,0.020934948172,0.066989984519
94,010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054.txt,DISTORTEDCIMIS44AirTemperature6,8184,6006,2130,0.111197919245,0.047078714396,0.079138316820
95,005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,DISTORTEDCIMIS44AirTemperature1,8184,5391,2792,0.110233353507,0.052333867684,0.081283610596
96,174_UCR_Anomaly_insectEPG2_3700_8000_8025.txt,insectEPG2,9998,8000,1973,0.109062877397,0.043443613583,0.076253245490
97,177_UCR_Anomaly_insectEPG5_3200_8500_8501.txt,insectEPG5,10028,8500,1527,0.108061312953,0.043651704090,0.075856508522
98,061_UCR_Anomaly_DISTORTEDgait3_24500_59900_60500.txt,DISTORTEDgait3,65000,59900,4500,0.105782886347,0.053183554635,0.079483220491
99,230_UCR_Anomaly_mit14134longtermecg_19363_19510_19610.txt,mit14134longtermecg,59000,19510,39390,0.102391229777,0.052143275978,0.077267252878
100,072_UCR_Anomaly_DISTORTEDltstdbs30791ES_20000_52600_52800.txt,DISTORTEDltstdbs30791ES,55000,52600,2200,0.099637763607,0.051259946755,0.075448855181
101,215_UCR_Anomaly_STAFFIIIDatabase_36276_106720_107370.txt,STAFFIIIDatabase,299990,106720,192620,0.098690737408,0.085422085431,0.092056411420
102,117_UCR_Anomaly_CIMIS44AirTemperature5_4000_4852_4900.txt,CIMIS44AirTemperature5,8184,4852,3284,0.096980306007,0.065435922655,0.081208114331
103,176_UCR_Anomaly_insectEPG4_1300_6508_6558.txt,insectEPG4,9998,6508,3440,0.091329924696,0.117279433856,0.104304679276
104,192_UCR_Anomaly_s20101mML2_12000_35774_35874.txt,s20101mML2,40000,35774,4126,0.089474275754,0.056315461640,0.072894868697
105,182_UCR_Anomaly_qtdbSel1005V_4000_12400_12800.txt,qtdbSel1005V,36001,12400,23201,0.087474108976,0.184281094890,0.135877601933
106,180_UCR_Anomaly_ltstdbs30791ES_20000_52600_52800.txt,ltstdbs30791ES,55000,52600,2200,0.087284449489,0.091092005966,0.089188227728
107,009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,DISTORTEDCIMIS44AirTemperature5,8184,4852,3284,0.085521602654,0.057536412853,0.071529007753
108,070_UCR_Anomaly_DISTORTEDltstdbs30791AI_17555_52600_52800.txt,DISTORTEDltstdbs30791AI,56123,52600,3323,0.083016461258,0.103871212226,0.093443836742
109,223_UCR_Anomaly_mit14046longtermecg_74123_131200_131700.txt,mit14046longtermecg,180386,131200,48686,0.080229317798,0.039840071370,0.060034694584
110,052_UCR_Anomaly_DISTORTEDTkeepThirdMARS_3500_4711_4809.txt,DISTORTEDTkeepThirdMARS,11308,4711,6499,0.079013721116,0.067250499839,0.073132110478
111,173_UCR_Anomaly_insectEPG1_3000_7000_7030.txt,insectEPG1,10001,7000,2971,0.078818969984,0.109562225897,0.094190597941
112,077_UCR_Anomaly_DISTORTEDresperation11_58000_110800_110801.txt,DISTORTEDresperation11,195000,110800,84199,0.078771867161,0.017599581691,0.048185724426
113,175_UCR_Anomaly_insectEPG3_5200_7000_7050.txt,insectEPG3,9998,7000,2948,0.078125217581,0.108788220172,0.093456718876
114,085_UCR_Anomaly_DISTORTEDs20101m_10000_35774_35874.txt,DISTORTEDs20101m,40000,35774,4126,0.076315926064,0.019012444004,0.047664185034
115,074_UCR_Anomaly_DISTORTEDqtdbSel1005V_4000_12400_12800.txt,DISTORTEDqtdbSel1005V,36001,12400,23201,0.075533460160,0.130186474021,0.102859967090
116,213_UCR_Anomaly_STAFFIIIDatabase_33211_126920_127370.txt,STAFFIIIDatabase,300000,126920,172630,0.075071113734,0.033586605422,0.054328859578
117,118_UCR_Anomaly_CIMIS44AirTemperature6_4000_6006_6054.txt,CIMIS44AirTemperature6,8184,6006,2130,0.073614514771,0.051380738870,0.062497626820
118,095_UCR_Anomaly_NOISECIMIS44AirTemperature4_4000_5549_5597.txt,NOISECIMIS44AirTemperature4,8184,5549,2587,0.071683966357,0.042758346911,0.057221156634
119,113_UCR_Anomaly_CIMIS44AirTemperature1_4000_5391_5392.txt,CIMIS44AirTemperature1,8184,5391,2792,0.070555679741,0.043637345330,0.057096512535
120,193_UCR_Anomaly_s20101m_10000_35774_35874.txt,s20101m,40000,35774,4126,0.070339121833,0.013975068202,0.042157095018
121,006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.txt,DISTORTEDCIMIS44AirTemperature2,8184,5703,2457,0.070140934650,0.036918635303,0.053529784976
122,116_UCR_Anomaly_CIMIS44AirTemperature4_4000_5549_5597.txt,CIMIS44AirTemperature4,8184,5549,2587,0.069184041108,0.043352688272,0.056268364690
123,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,DISTORTEDInternalBleeding15,7601,5684,1747,0.068560815617,0.147442125377,0.108001470497
124,084_UCR_Anomaly_DISTORTEDs20101mML2_12000_35774_35874.txt,DISTORTEDs20101mML2,40000,35774,4126,0.068305806041,0.055758085239,0.062031945640
125,244_UCR_Anomaly_tilt12754table_100013_104630_104890.txt,tilt12754table,300262,104630,195372,0.067454194428,0.039798553488,0.053626373958
126,114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727.txt,CIMIS44AirTemperature2,8184,5703,2457,0.067382548493,0.042983734035,0.055183141264
