rank,file_name,series_name,total_length,train_length,test_length,ks_statistic,p_value,bh_adjusted_p_value,is_significant
1,221_UCR_Anomaly_STAFFIIIDatabase_45616_163632_164852.txt,STAFFIIIDatabase,298340,163632,133488,0.081219368695,0.000000000000e+00,0.000000000000e+00,yes
2,213_UCR_Anomaly_STAFFIIIDatabase_33211_126920_127370.txt,STAFFIIIDatabase,300000,126920,172630,0.091142438063,0.000000000000e+00,0.000000000000e+00,yes
3,092_UCR_Anomaly_DISTORTEDtiltAPB4_20000_67995_67996.txt,DISTORTEDtiltAPB4,128001,67995,60005,0.140088996309,0.000000000000e+00,0.000000000000e+00,yes
4,200_UCR_Anomaly_tiltAPB4_20000_67995_67996.txt,tiltAPB4,128001,67995,60005,0.148166484570,0.000000000000e+00,0.000000000000e+00,yes
5,215_UCR_Anomaly_STAFFIIIDatabase_36276_106720_107370.txt,STAFFIIIDatabase,299990,106720,192620,0.157117694462,0.000000000000e+00,0.000000000000e+00,yes
6,220_UCR_Anomaly_STAFFIIIDatabase_43217_250720_251370.txt,STAFFIIIDatabase,299790,250720,48420,0.158963554645,0.000000000000e+00,0.000000000000e+00,yes
7,167_UCR_Anomaly_gait1_20000_38500_38800.txt,gait1,65000,38500,26200,0.159887974621,0.000000000000e+00,0.000000000000e+00,yes
8,219_UCR_Anomaly_STAFFIIIDatabase_41612_64632_64852.txt,STAFFIIIDatabase,299840,64632,234988,0.183258766263,0.000000000000e+00,0.000000000000e+00,yes
9,217_UCR_Anomaly_STAFFIIIDatabase_38211_150720_151370.txt,STAFFIIIDatabase,299690,150720,148320,0.187613457561,0.000000000000e+00,0.000000000000e+00,yes
10,214_UCR_Anomaly_STAFFIIIDatabase_34211_125720_126370.txt,STAFFIIIDatabase,299690,125720,173320,0.236889898675,0.000000000000e+00,0.000000000000e+00,yes
11,247_UCR_Anomaly_tilt12755mtable_50211_121900_121980.txt,tilt12755mtable,200000,121900,78020,0.248811726406,0.000000000000e+00,0.000000000000e+00,yes
12,205_UCR_Anomaly_CHARISfive_9812_28995_29085.txt,CHARISfive,39870,28995,10785,0.255826468570,0.000000000000e+00,0.000000000000e+00,yes
13,216_UCR_Anomaly_STAFFIIIDatabase_37216_160720_161370.txt,STAFFIIIDatabase,299890,160720,138520,0.301098268519,0.000000000000e+00,0.000000000000e+00,yes
14,245_UCR_Anomaly_tilt12754table_100211_270800_271070.txt,tilt12754table,298747,270800,27677,0.310445408468,0.000000000000e+00,0.000000000000e+00,yes
15,204_UCR_Anomaly_CHARISfive_12412_15000_15070.txt,CHARISfive,41999,15000,26929,0.332451679107,0.000000000000e+00,0.000000000000e+00,yes
16,202_UCR_Anomaly_CHARISfive_10411_10998_11028.txt,CHARISfive,41790,10998,30762,0.443184520703,0.000000000000e+00,0.000000000000e+00,yes
17,246_UCR_Anomaly_tilt12755mtable_100211_270800_271070.txt,tilt12755mtable,299867,270800,28797,0.459527654848,0.000000000000e+00,0.000000000000e+00,yes
18,102_UCR_Anomaly_NOISEMesoplodonDensirostris_10000_19280_19440.txt,NOISEMesoplodonDensirostris,24667,19280,5227,0.507478494999,0.000000000000e+00,0.000000000000e+00,yes
19,043_UCR_Anomaly_DISTORTEDMesoplodonDensirostris_10000_19280_19440.txt,DISTORTEDMesoplodonDensirostris,24667,19280,5227,0.514281535309,0.000000000000e+00,0.000000000000e+00,yes
20,151_UCR_Anomaly_MesoplodonDensirostris_10000_19280_19440.txt,MesoplodonDensirostris,24667,19280,5227,0.522124658750,0.000000000000e+00,0.000000000000e+00,yes
21,242_UCR_Anomaly_tilt12744mtable_100000_104630_104890.txt,tilt12744mtable,286667,104630,181777,0.064716424561,3.018809140659e-242,3.593820405546e-241,yes
22,156_UCR_Anomaly_TkeepFifthMARS_3500_5988_6085.txt,TkeepFifthMARS,11334,5988,5249,0.300092787340,9.922878257439e-223,1.127599801982e-221,yes
23,158_UCR_Anomaly_TkeepForthMARS_3500_5988_6085.txt,TkeepForthMARS,11308,5988,5223,0.300013102982,5.062619601469e-222,5.502847392901e-221,yes
24,168_UCR_Anomaly_gait2_22000_46500_46800.txt,gait2,65000,46500,18200,0.135315845445,2.418422942235e-209,2.519190564828e-208,yes
