series_id,source_file,total_length,annotation_type,anomaly_end_index,last_anomalous_index,post_anomaly_suffix_len,num_anomalous_points,notes
KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/IOPS/KPI-05f10d3a-239c-3bef-9bdc-a2feeb0037aa.test.out,149130,pointwise_label_column,,146853,2276,991,last_nonzero_label_in_test_stream
KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/IOPS/KPI-0efb375b-b902-3661-ab23-9a0bb799f4e3.test.out,8784,pointwise_label_column,,6152,2631,71,last_nonzero_label_in_test_stream
KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/IOPS/KPI-1c6d7a26-1f1a-3321-bb4d-7a9d969ec8f0.test.out,149156,pointwise_label_column,,147674,1481,633,last_nonzero_label_in_test_stream
KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/IOPS/KPI-301c70d8-1630-35ac-8f96-bc1b6f4359ea.test.out,8784,pointwise_label_column,,8510,273,206,last_nonzero_label_in_test_stream
KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/IOPS/KPI-42d6616d-c9c5-370a-a8ba-17ead74f3114.test.out,149161,pointwise_label_column,,146391,2769,1896,last_nonzero_label_in_test_stream
KPI-43115f2a-baeb-3b01-96f7-4ea14188343c,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/IOPS/KPI-43115f2a-baeb-3b01-96f7-4ea14188343c.test.out,110629,pointwise_label_column,,106271,4357,939,last_nonzero_label_in_test_stream
KPI-431a8542-c468-3988-a508-3afd06a218da,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/IOPS/KPI-431a8542-c468-3988-a508-3afd06a218da.test.out,111566,pointwise_label_column,,111198,367,3286,last_nonzero_label_in_test_stream
KPI-4d2af31a-9916-3d9f-8a8e-8a268a48c095,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/IOPS/KPI-4d2af31a-9916-3d9f-8a8e-8a268a48c095.test.out,111370,pointwise_label_column,,108228,3141,2585,last_nonzero_label_in_test_stream
KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/IOPS/KPI-54350a12-7a9d-3ca8-b81f-f886b9d156fd.test.out,7616,pointwise_label_column,,7588,27,108,last_nonzero_label_in_test_stream
KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/IOPS/KPI-55f8b8b8-b659-38df-b3df-e4a5a8a54bc9.test.out,149133,pointwise_label_column,,148993,139,6091,last_nonzero_label_in_test_stream
