series_id,source_file,total_length,annotation_type,anomaly_end_index,last_anomalous_index,post_anomaly_suffix_len,num_anomalous_points,notes
machine-1-1,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-1-1.txt,28479,pointwise_test_labels,,27555,923,2694,last_nonzero_label_in_test_stream
machine-1-2,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-1-2.txt,23694,pointwise_test_labels,,23114,579,542,last_nonzero_label_in_test_stream
machine-1-3,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-1-3.txt,23703,pointwise_test_labels,,23019,683,817,last_nonzero_label_in_test_stream
machine-1-4,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-1-4.txt,23707,pointwise_test_labels,,23220,486,720,last_nonzero_label_in_test_stream
machine-1-5,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-1-5.txt,23706,pointwise_test_labels,,22076,1629,100,last_nonzero_label_in_test_stream
machine-1-6,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-1-6.txt,23689,pointwise_test_labels,,22419,1269,3708,last_nonzero_label_in_test_stream
machine-1-7,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-1-7.txt,23697,pointwise_test_labels,,19589,4107,2398,last_nonzero_label_in_test_stream
machine-1-8,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-1-8.txt,23699,pointwise_test_labels,,22901,797,763,last_nonzero_label_in_test_stream
machine-2-1,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-2-1.txt,23694,pointwise_test_labels,,23294,399,1170,last_nonzero_label_in_test_stream
machine-2-2,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-2-2.txt,23700,pointwise_test_labels,,23298,401,2833,last_nonzero_label_in_test_stream
machine-2-3,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-2-3.txt,23689,pointwise_test_labels,,20257,3431,269,last_nonzero_label_in_test_stream
machine-2-4,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-2-4.txt,23689,pointwise_test_labels,,22293,1395,1694,last_nonzero_label_in_test_stream
machine-2-5,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-2-5.txt,23689,pointwise_test_labels,,23140,548,980,last_nonzero_label_in_test_stream
machine-2-6,/Users/conquerormikrokosmos/Downloads/LAPTOP MAC/MYUNIVERSITY/ĐẠI HỌC QUỐC GIA TPHCM/ĐH KHOA HỌC TỰ NHIÊN/Khoá luận tốt nghiệp/bachelor-thesis-2026/data/ServerMachineDataset/test_label/machine-2-6.txt,28743,pointwise_test_labels,,27979,763,424,last_nonzero_label_in_test_stream
