dataset_name,series_id,source_file,span_start_index,span_end_index_exclusive,span_length,span_ordinal_in_series,split,entity_id,spacecraft
anomaly_archive,DISTORTED1sddb40,data/AnomalyArchive/001_UCR_Anomaly_DISTORTED1sddb40_35000_52000_52620.txt,52000,52620,620,1,test,DISTORTED1sddb40,
anomaly_archive,DISTORTED2sddb40,data/AnomalyArchive/002_UCR_Anomaly_DISTORTED2sddb40_35000_56600_56900.txt,56600,56900,300,1,test,DISTORTED2sddb40,
anomaly_archive,DISTORTED3sddb40,data/AnomalyArchive/003_UCR_Anomaly_DISTORTED3sddb40_35000_46600_46900.txt,46600,46900,300,1,test,DISTORTED3sddb40,
anomaly_archive,DISTORTEDBIDMC1,data/AnomalyArchive/004_UCR_Anomaly_DISTORTEDBIDMC1_2500_5400_5600.txt,5400,5600,200,1,test,DISTORTEDBIDMC1,
anomaly_archive,DISTORTEDCIMIS44AirTemperature1,data/AnomalyArchive/005_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature1_4000_5391_5392.txt,5391,5392,1,1,test,DISTORTEDCIMIS44AirTemperature1,
anomaly_archive,DISTORTEDCIMIS44AirTemperature2,data/AnomalyArchive/006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.txt,5703,5727,24,1,test,DISTORTEDCIMIS44AirTemperature2,
anomaly_archive,DISTORTEDCIMIS44AirTemperature3,data/AnomalyArchive/007_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature3_4000_6520_6544.txt,6520,6544,24,1,test,DISTORTEDCIMIS44AirTemperature3,
anomaly_archive,DISTORTEDCIMIS44AirTemperature4,data/AnomalyArchive/008_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature4_4000_5549_5597.txt,5549,5597,48,1,test,DISTORTEDCIMIS44AirTemperature4,
anomaly_archive,DISTORTEDCIMIS44AirTemperature5,data/AnomalyArchive/009_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature5_4000_4852_4900.txt,4852,4900,48,1,test,DISTORTEDCIMIS44AirTemperature5,
anomaly_archive,DISTORTEDCIMIS44AirTemperature6,data/AnomalyArchive/010_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature6_4000_6006_6054.txt,6006,6054,48,1,test,DISTORTEDCIMIS44AirTemperature6,
anomaly_archive,DISTORTEDECG1,data/AnomalyArchive/011_UCR_Anomaly_DISTORTEDECG1_10000_11800_12100.txt,11800,12100,300,1,test,DISTORTEDECG1,
anomaly_archive,DISTORTEDECG2,data/AnomalyArchive/012_UCR_Anomaly_DISTORTEDECG2_15000_16000_16100.txt,16000,16100,100,1,test,DISTORTEDECG2,
anomaly_archive,DISTORTEDECG3,data/AnomalyArchive/013_UCR_Anomaly_DISTORTEDECG3_15000_16000_16100.txt,16000,16100,100,1,test,DISTORTEDECG3,
anomaly_archive,DISTORTEDECG3,data/AnomalyArchive/014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,17000,17100,100,1,test,DISTORTEDECG3,
anomaly_archive,DISTORTEDECG4,data/AnomalyArchive/015_UCR_Anomaly_DISTORTEDECG4_5000_16800_17100.txt,16800,17100,300,1,test,DISTORTEDECG4,
anomaly_archive,DISTORTEDECG4,data/AnomalyArchive/016_UCR_Anomaly_DISTORTEDECG4_5000_16900_17100.txt,16900,17100,200,1,test,DISTORTEDECG4,
anomaly_archive,DISTORTEDECG4,data/AnomalyArchive/017_UCR_Anomaly_DISTORTEDECG4_5000_17000_17100.txt,17000,17100,100,1,test,DISTORTEDECG4,
