index,method_family,method,offline_variant,online_variant,entity_id,seed,source_path,staged_path,staged_name,size_bytes,sha256
1,THESIS,thesis,O0,A0,machine_1_6,seed36,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A0/machine_1_6/seed36/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A0__machine_1_6__seed36__online_metrics.json,thesis__O0_A0__machine_1_6__seed36__online_metrics.json,2194283,bf8c0ff20275b715bc7f7f9f3410e78125e706dc7c06b6cb418eb6d703a82e9b
2,THESIS,thesis,O0,A0,machine_1_6,seed6,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A0/machine_1_6/seed6/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A0__machine_1_6__seed6__online_metrics.json,thesis__O0_A0__machine_1_6__seed6__online_metrics.json,2194439,8525735f8b8ee19293b8fef4ab5cd5908f649593f608b1821d7623e20bc93b87
3,THESIS,thesis,O0,A0,machine_1_6,seed8,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A0/machine_1_6/seed8/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A0__machine_1_6__seed8__online_metrics.json,thesis__O0_A0__machine_1_6__seed8__online_metrics.json,2194183,efcf406140edd9ff31a796d8627094bbf6a42d20e3ba94598560eec56ae9e7d6
4,THESIS,thesis,O0,A0,machine_3_4,seed36,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A0/machine_3_4/seed36/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A0__machine_3_4__seed36__online_metrics.json,thesis__O0_A0__machine_3_4__seed36__online_metrics.json,3713986,f1968c7bbe807a947d6198f5b31181286b476a8df5df17e771aea85f1fc3514f
5,THESIS,thesis,O0,A0,machine_3_4,seed6,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A0/machine_3_4/seed6/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A0__machine_3_4__seed6__online_metrics.json,thesis__O0_A0__machine_3_4__seed6__online_metrics.json,3710668,87a3383595678cb26b33d04088fb18e468741adecad0e2b33e471a2970a1d837
6,THESIS,thesis,O0,A0,machine_3_4,seed8,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A0/machine_3_4/seed8/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A0__machine_3_4__seed8__online_metrics.json,thesis__O0_A0__machine_3_4__seed8__online_metrics.json,3711289,506cf6ff76efb718e67063c6c0d78d8af075b273d49d1f9b2d5c768fd4aa0cd4
7,THESIS,thesis,O0,A0,machine_3_9,seed36,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A0/machine_3_9/seed36/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A0__machine_3_9__seed36__online_metrics.json,thesis__O0_A0__machine_3_9__seed36__online_metrics.json,10444517,ba9717dda0a0fbf160bc83b0afbdb36932e8042051aea4a0331f421d4ffdeb9e
8,THESIS,thesis,O0,A0,machine_3_9,seed6,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A0/machine_3_9/seed6/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A0__machine_3_9__seed6__online_metrics.json,thesis__O0_A0__machine_3_9__seed6__online_metrics.json,10447578,5c7980b00e8b09fae0a03be236c1e6d7e2c69f8535ef04906a354ae0074dcf63
9,THESIS,thesis,O0,A0,machine_3_9,seed8,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A0/machine_3_9/seed8/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A0__machine_3_9__seed8__online_metrics.json,thesis__O0_A0__machine_3_9__seed8__online_metrics.json,10455439,414aa3e1f12ff83882ecec0d219e3b007dea82ef38c3948b12f7696cd05f70b7
10,THESIS,thesis,O0,A1,machine_1_6,seed36,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A1/machine_1_6/seed36/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A1__machine_1_6__seed36__online_metrics.json,thesis__O0_A1__machine_1_6__seed36__online_metrics.json,2202604,79ab29dc09f863358eda134ee7a80ca5ed57e304120bc24c6e2f9ad68f808595
11,THESIS,thesis,O0,A1,machine_1_6,seed6,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A1/machine_1_6/seed6/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A1__machine_1_6__seed6__online_metrics.json,thesis__O0_A1__machine_1_6__seed6__online_metrics.json,2202940,3f14cae91b5cf587220ecaa011c1dd42fea08382543e154412e43f29a797e3ea
12,THESIS,thesis,O0,A1,machine_1_6,seed8,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A1/machine_1_6/seed8/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A1__machine_1_6__seed8__online_metrics.json,thesis__O0_A1__machine_1_6__seed8__online_metrics.json,2202598,372f432d50904118fb1498e5017e7a3b978302466d962655d15330e064bc7ff0
13,THESIS,thesis,O0,A1,machine_3_4,seed36,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A1/machine_3_4/seed36/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A1__machine_3_4__seed36__online_metrics.json,thesis__O0_A1__machine_3_4__seed36__online_metrics.json,3765850,3b33a119a8c8d3a9b550518b3b7f0db3bf89b69838a096c4120e24f14e07cb1e
14,THESIS,thesis,O0,A1,machine_3_4,seed6,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A1/machine_3_4/seed6/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A1__machine_3_4__seed6__online_metrics.json,thesis__O0_A1__machine_3_4__seed6__online_metrics.json,3746516,15be92848715777224ae1ba2e8061996beb64ce3888dd5eb59be8a77b94f2334
15,THESIS,thesis,O0,A1,machine_3_4,seed8,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A1/machine_3_4/seed8/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A1__machine_3_4__seed8__online_metrics.json,thesis__O0_A1__machine_3_4__seed8__online_metrics.json,3765030,c24f2bd1b94d49156441c8647936395bf74b738ec21c9d31415099a82ff327d6
16,THESIS,thesis,O0,A1,machine_3_9,seed36,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A1/machine_3_9/seed36/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A1__machine_3_9__seed36__online_metrics.json,thesis__O0_A1__machine_3_9__seed36__online_metrics.json,10491791,047b589177e9abcae1bb142d767d10a3931547d33c28a93d130d56b5cea02d8f
17,THESIS,thesis,O0,A1,machine_3_9,seed6,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A1/machine_3_9/seed6/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A1__machine_3_9__seed6__online_metrics.json,thesis__O0_A1__machine_3_9__seed6__online_metrics.json,10493184,7a474c782296e6db4bf16bf5ceda150aa1f5f3f69927634c40d8ec11f1355c99
18,THESIS,thesis,O0,A1,machine_3_9,seed8,/root/bachelor-thesis-2026/outputs/benchmark/online/smd/thesis/O0_A1/machine_3_9/seed8/online_metrics.json,/root/bachelor-thesis-2026/outputs/reporting/online_phase_tables/online_metrics_99/thesis__O0_A1__machine_3_9__seed8__online_metrics.json,thesis__O0_A1__machine_3_9__seed8__online_metrics.json,10505383,5dd8dcd70df3cdf6357dc026d94d8fae92ff24ba02e162d01fcb8608b6377f57
